Roll Number,Block,Plan,Unit,Civic Address,Street Name,Zoning,Description Code,Description,Assessment Improvement Value,Assessment Land Value,Assessment Other Value,Assessment Year,Assessment Total Value,Poll Division,Poll Division Name,Voting Station,Latitude,Longitude
0077000903,77,C4576,UNIT 3,5209,BROCK DR,,101,Residential,"72,400.00","28,690.00",0,2015,"101,090.00",2,Weledeh,École St. Patrick High School,62.45969223,-114.3534692
0077000902,77,C4576,UNIT 2,5209,BROCK DR,,101,Residential,"163,440.00","28,800.00",0,2015,"192,240.00",2,Weledeh,École St. Patrick High School,62.45975831,-114.3535187
0077000901,77,C4576,Unit 1,5209,BROCK DR,,101,Residential,"237,500.00","55,900.00",0,2015,"293,400.00",2,Weledeh,École St. Patrick High School,62.45974297,-114.3533854
0312002764,312,C4533,416,111,MOYLE DR,,101,Residential,"121,400.00","21,040.00",0,2015,"142,440.00",2,Weledeh,École St. Patrick High School,62.46650692,-114.3742236
0312002763,312,C4533,415,111,MOYLE DR,,101,Residential,"135,690.00","22,800.00",0,2015,"158,490.00",2,Weledeh,École St. Patrick High School,62.46644486,-114.3741079
0312002762,312,C4533,414,111,MOYLE DR,,101,Residential,"127,560.00","22,530.00",0,2015,"150,090.00",2,Weledeh,École St. Patrick High School,62.46646114,-114.3743594
0312002761,312,C4533,413,111,MOYLE DR,,101,Residential,"127,560.00","22,530.00",0,2015,"150,090.00",2,Weledeh,École St. Patrick High School,62.46640004,-114.3742515
0312002760,312,C4533,412,111,MOYLE DR,,101,Residential,"125,810.00","22,120.00",0,2015,"147,930.00",2,Weledeh,École St. Patrick High School,62.46641309,-114.3744906
0312002759,312,C4533,411,111,MOYLE DR,,101,Residential,"125,340.00","21,990.00",0,2015,"147,330.00",2,Weledeh,École St. Patrick High School,62.46634819,-114.3743751
0312002758,312,C4533,410,111,MOYLE DR,,101,Residential,"125,780.00","22,120.00",0,2015,"147,900.00",2,Weledeh,École St. Patrick High School,62.46635384,-114.3746251
0312002757,312,C4533,409,111,MOYLE DR,,101,Residential,"122,540.00","21,310.00",0,2015,"143,850.00",2,Weledeh,École St. Patrick High School,62.46629068,-114.3745013
0312002756,312,C4533,408,111,MOYLE DR,,101,Residential,"125,810.00","22,120.00",0,2015,"147,930.00",2,Weledeh,École St. Patrick High School,62.46629068,-114.3747539
0312002755,312,C4533,407,111,MOYLE DR,,101,Residential,"120,810.00","20,910.00",0,2015,"141,720.00",2,Weledeh,École St. Patrick High School,62.46622118,-114.3746471
0312002754,312,C4533,406,111,MOYLE DR,,101,Residential,"97,440.00","15,240.00",0,2015,"112,680.00",2,Weledeh,École St. Patrick High School,62.46624103,-114.3748938
0312002753,312,C4533,405,111,MOYLE DR,,101,Residential,"97,440.00","15,240.00",0,2015,"112,680.00",2,Weledeh,École St. Patrick High School,62.46617874,-114.3747658
0312002752,312,C4533,404,111,MOYLE DR,,101,Residential,"126,910.00","22,390.00",0,2015,"149,300.00",2,Weledeh,École St. Patrick High School,62.46618418,-114.3750548
0312002751,312,C4533,403,111,MOYLE DR,,101,Residential,"126,910.00","22,390.00",0,2015,"149,300.00",2,Weledeh,École St. Patrick High School,62.4661228,-114.3749247
0312002750,312,C4533,402,111,MOYLE DR,,101,Residential,"121,370.00","21,040.00",0,2015,"142,410.00",2,Weledeh,École St. Patrick High School,62.46613829,-114.3751923
0312002749,312,C4533,401,111,MOYLE DR,,101,Residential,"135,660.00","22,800.00",0,2015,"158,460.00",2,Weledeh,École St. Patrick High School,62.46607184,-114.3750631
0312002748,312,C4533,316,111,MOYLE DR,,101,Residential,"121,400.00","21,040.00",0,2015,"142,440.00",2,Weledeh,École St. Patrick High School,62.46650692,-114.3742236
0312002747,312,C4533,315,111,MOYLE DR,,101,Residential,"135,690.00","22,800.00",0,2015,"158,490.00",2,Weledeh,École St. Patrick High School,62.46644486,-114.3741079
0312002746,312,C4533,314,111,MOYLE DR,,101,Residential,"127,560.00","22,530.00",0,2015,"150,090.00",2,Weledeh,École St. Patrick High School,62.46646114,-114.3743594
0312002745,312,C4533,313,111,MOYLE DR,,101,Residential,"127,560.00","22,530.00",0,2015,"150,090.00",2,Weledeh,École St. Patrick High School,62.46640004,-114.3742515
0312002744,312,C4533,312,111,MOYLE DR,,101,Residential,"125,810.00","22,120.00",0,2015,"147,930.00",2,Weledeh,École St. Patrick High School,62.46641309,-114.3744906
0312002743,312,C4533,311,111,MOYLE DR,,101,Residential,"125,340.00","21,990.00",0,2015,"147,330.00",2,Weledeh,École St. Patrick High School,62.46634819,-114.3743751
0312002742,312,C4533,310,111,MOYLE DR,,101,Residential,"125,780.00","22,120.00",0,2015,"147,900.00",2,Weledeh,École St. Patrick High School,62.46635384,-114.3746251
0312002741,312,C4533,309,111,MOYLE DR,,101,Residential,"122,540.00","21,310.00",0,2015,"143,850.00",2,Weledeh,École St. Patrick High School,62.46629068,-114.3745013
0312002740,312,C4533,308,111,MOYLE DR,,101,Residential,"125,810.00","22,120.00",0,2015,"147,930.00",2,Weledeh,École St. Patrick High School,62.46629068,-114.3747539
0312002739,312,C4533,307,111,MOYLE DR,,101,Residential,"120,780.00","20,910.00",0,2015,"141,690.00",2,Weledeh,École St. Patrick High School,62.46622118,-114.3746471
0312002738,312,C4533,306,111,MOYLE DR,,101,Residential,"97,440.00","15,240.00",0,2015,"112,680.00",2,Weledeh,École St. Patrick High School,62.46624103,-114.3748938
0312002737,312,C4533,305,111,MOYLE DR,,101,Residential,"97,440.00","15,240.00",0,2015,"112,680.00",2,Weledeh,École St. Patrick High School,62.46617874,-114.3747658
0312002736,312,C4533,304,111,MOYLE DR,,101,Residential,"126,910.00","22,390.00",0,2015,"149,300.00",2,Weledeh,École St. Patrick High School,62.46618418,-114.3750548
0312002735,312,C4533,303,111,MOYLE DR,,101,Residential,"126,910.00","22,390.00",0,2015,"149,300.00",2,Weledeh,École St. Patrick High School,62.4661228,-114.3749247
0312002734,312,C4533,302,111,MOYLE DR,,101,Residential,"121,370.00","21,040.00",0,2015,"142,410.00",2,Weledeh,École St. Patrick High School,62.46613829,-114.3751923
0312002733,312,C4533,301,111,MOYLE DR,,101,Residential,"135,660.00","22,800.00",0,2015,"158,460.00",2,Weledeh,École St. Patrick High School,62.46607184,-114.3750631
0312002732,312,C4533,216,111,MOYLE DR,,101,Residential,"121,400.00","21,040.00",0,2015,"142,440.00",2,Weledeh,École St. Patrick High School,62.46650692,-114.3742236
