Ethnicity,Description
Prefer not to say, ""
Unknown,"No predominant or known ancestry"
Eastern Africa,"Kenya, Rwanda, Zimbabwe, South Sudan"
Middle Africa,"Angola, Cameroon, Chad, Congo"
Northern Africa,"Algeria, Tunisian, Libya, Western Sahara"
Southern Africa,"Botswana, Namibia, Swaziland"
Western Africa,"Burkina Faso, Niger, Senegal"
Caribbean,"Cuba, Haiti, Trinidad"
Central America,"Mexico, Panama, Costa Rica"
South America,"Argentina, Brazuk, Venezuela"
Northern America,"Canada, Greenland, United States of America"
Central Asia,"Kazakhstan, Tajikistan"
Eastern Asia,"China, Japan, Korea"
Southern Asia,"Afghanistan, India, Sri Lanka, Nepal"
South-Eastern Asia,"Philippines, Thailand, Indonesia, Vietnam"
Western Asia,"Turkey, Iraq, Yemen"
Eastern Europe,"Belarus, Poland, Russia"
Northern Europe,"UK, Iceland, Finland, Norway"
Southern Europe,"Italy, Greece, Spain"
Western Europe,"Germany, Netherlands, Belgium, France"
Australasia,"Australia, New Zealand"
Melanesia,"Fiji, Vanuatu, Solomon Islands"
Micronesia,"Guam, Kiribati, Nauru"
Polynesia,"Cook Islands, Samoa, Tonga"
